Data Import Template,,,,,,,,,,,,,,,,,,,,,,
Table:,Tree Species,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DocType:,Tree Species,,,,,,,,,,,,,,,,,,,~,Tree Species Local Name,local_names
Column Labels:,ID,Last Updated On,Tree Family,Wikipedia Link,Occurance,Leaf Shape,Leaf Attachment,Leaf Type,Leaf Veination,Leaf Margin,Canopy Shape,Bark,Flow Size (cm),Flower,Fruit,Fruit Size (cm),Fruiting Months,Publish,Page Name,,ID,Local Name
Column Name:,name,modified,tree_family,wikipedia_link,occurance,leaf_shape,leaf_attachment,leaf_type,leaf_veination,leaf_margin,canopy_shape,bark,flow_size,flower,fruit,fruit_size,fruiting_months,publish,page_name,~,name,local_name
Mandatory:,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No
Type:,Data (text),Data,Link,Data,Select,Select,Select,Select,Select,Select,Select,Data,Data,Data,Data,Data,Data,Check,Data,,Data,Data
Info:,,Don't change!,Valid Tree Family,,"One of: Rare, Occasional, Common","One of: Elliptic, Lanceolate, Oblong, Ovate, Lobed, Linear","One of: Alternate, Opposite","One of: Simple, Uni-pinnate, Multi-pinnata, Digitate","One of: No, Parallel, Reticulate","One of: Acuminate, Creanate, Crenate-serrate, Crenulate, Cuneate, Dentale, Dentate, Entire, No, palmate, Peltet, Serrate, Sinuate, Spinus, Tooth margin, Undulate, Wavy","One of: Conical, Erect, Globular, Irregular, Oval, Spreading, Trailing, Vase shaped",,,,,,,0 or 1,,,Leave blank for new records,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,
,"""Acacia Auriculiformis""","""2013-09-10 17:53:13""",Mimosaceae,http://en.wikipedia.org/wiki/Acacia_auriculiformis,Common,Lanceolate,Opposite,Simple,,,Irregular,,0,"Fragrant, yellow","Coiled,Twisted",0,"June,July",1,,,"""000000141""",Austalian Babhul
,"""Acacia Catechu""","""2013-09-10 17:53:18""",Mimosaceae,http://en.wikipedia.org/wiki/Acacia_catechu,Common,Oblong,Opposite,Multi-pinnata,,,Irregular,,0,Spikes,Pods brown,0,"July,Aug",1,,,"""000000142""",Khair
,"""Acacia Chundra""","""2013-09-10 17:53:18""",Mimosaceae,http://en.wikipedia.org/wiki/Acacia_chundra,Common,Oblong,Opposite,Multi-pinnata,,,Irregular,"brown, thin,fissured.branches  pendulous,slender",0,Spikes,Pods brown,0,"July,Aug",1,,,"""000000143""",Khair
,"""Acacia Eburnea""","""2013-09-10 17:53:18""",Mimosaceae,http://en.wikipedia.org/wiki/Acacia_karroo,Occasional,Oblong,Opposite,Multi-pinnata,,,Trailing,,0,Fragrant yellow,pods brown,0,"March,April",1,,,"""000000144""",Dev Babhul
,"""Acacia Farnesiana""","""2013-09-10 17:53:18""",Mimosaceae,http://en.wikipedia.org/wiki/Vachellia_farnesiana,Occasional,Oblong,Opposite,Multi-pinnata,,,Trailing,yellowish.,0,Fragrant yellow,pods brown,0,"March,April",1,,,"""000000145""",Dev Babhul
,"""Acacia Ferruginea (Mistake In Top)""","""2013-09-10 17:53:18""",Mimosaceae,,Occasional,Oblong,Opposite,Multi-pinnata,,,Irregular,,0,Yellow,Brown,0,March,1,,,"""000000146""",Pandhra Khair
,"""Acacia Leucophloea""","""2013-09-10 17:53:18""",Mimosaceae,http://en.wikipedia.org/wiki/Acacia_leucophloea,Common,Oblong,Opposite,Multi-pinnata,,,Spreading,brown cracked.,0,Greenish white,pods flat brown,0,"Sep,Octo",1,,,"""000000147""",Hivar
,"""Acacia Mangium""","""2013-09-10 17:53:13""",Mimosaceae,http://en.wikipedia.org/wiki/Acacia_mangium,Common,Lanceolate,Opposite,Simple,,,Irregular,,0,"Fragrant, yellow","Coiled,Twisted",0,"June,July",1,,,"""000000148""",Austalian Babhul
,"""Acacia Nilotica""","""2013-09-10 17:53:18""",Mimosaceae,http://en.wikipedia.org/wiki/Acacia_nilotica,Common,Oblong,Opposite,Multi-pinnata,,,Spreading,,0,Yellow,Pods tomantose,0,"july,Aug",1,,,"""000000149""",Babhul
