genus,species,cultivar,gender,common_name,usda_code,itree_code,flowering,flower_time,fall_color,edible,fruiting_time,wildlife,native,webpage_link
capparis,grandis,,,Pachunda,,,,,,,,,,
diospyros,buxifolia,,,Striped Ebony,,,,,,,,,,
anogeissus,acuminata,,,Maha Dhawda,,,,,,,,,,
anogeissus,sericea,,,,,,,,,,,,,
citrofortunella,mitis,,,Mandarin Orange,,,,,,,,,,
ficus,benjamina,,,Nuda,,,,,,,,,,
ficus,benjamina,,,Benjamina,,,,,,,,,,
anogeissus,latifolia,,,Dhawda,,,,,,,,,,
ficus,microcarpa,,,Nandruk,,,,,,,,,,
grewia,flavescens,,,Khatkhati,,,,,,,,,,
manilkara,zapota,,,Chikkoo,,,,,,,,,,
flacourtia,latifolia,,,Tambat,,,,,,,,,,
flacourtia,montana,,,Tambat,,,,,,,,,,
glochidion,ellipticum,,,Bhoma,,,,,,,,,,
annona,reticulata,,,Sitaphal,,,,,,,,,,
annona,squamosa,,,Ramphal,,,,,,,,,,
ehretia,aspera,,,,,,,,,,,,,
ehretia,laevis,,,Ajaan,,,,,,,,,,
ficus,amplissima,,,Pipri,,,,,,,,,,
ficus,virens,,,Payar,,,,,,,,,,
eriobotrya,japonica,,,Loquat,,,,,,,,,,
mimusops,elengi,,,Bakul,,,,,,,,,,
anacardium,occidentale,,,Kaju,,,,,,,,,,
ficus,racemosa,,,Umbar,,,,,,,,,,
cananga,odorata,,,Ylang-Ylang,,,,,,,,,,
citrus,limon,,,Idlimbu,,,,,,,,,,
citrus,sinensis,,,,,,,,,,,,,
holoptelea,integrifolia,,,Wawal,,,,,,,,,,
Myristica,fragrans,,,Jayphal,,,,,,,,,,
excoecaria,bussei,,,Ballon Tree,,,,,,,,,,
ochna,obtusata,,,Kanak Champa,,,,,,,,,,
bridelia,retusa,,,Asana,,,,,,,,,,
pterospermum,xylocarpum,,,Muchkunda,,,,,,,,,,
artocarpus,heterophyllus,,,Phanas,,,,,,,,,,
artocarpus,hirsutus,,,,,,,,,,,,,
ficus,exasperata,,,Kharwat,,,,,,,,,,
alseodaphne,semecarpifolia,,,Phudgus,,,,,,,,,,
talauma,mutabilis,,,Kavthi Chafa,,,,,,,,,,
hydnocarpus,pentandra,,,Kadukawath,,,,,,,,,,
michelia,champaca,,,Sonchafa,,,,,,,,,,
persea,americana,,,Avacado,,,,,,,,,,
persea,americana,,,,,,,,,,,,,
suregada,multiflora,,,False Lime,,,,,,,,,,
citrus,aurantium,,,,,,,,,,,,,
citrus,maxima,,,Papnas,,,,,,,,,,
elaeocarpus,sphaericus,,,Rudraksha,,,,,,,,,,
ficus,elastica,,,Rubber Tree,,,,,,,,,,
terminalia,bellirica,,,Beheda,,,,,,,,,,
terminalia,chebula,,,Beheda,,,,,,,,,,
artocarpus,lacucha,,,Bread-fruit Tree,,,,,,,,,,
theobroma,cacao,,,Cocoa,,,,,,,,,,
brugmansia,arborea,,,Trumpet Tree,,,,,,,,,,
datura,arborea,,,,,,,,,,,,,
manilkara,sp,,,Zapota,,,,,,,,,,
dillenia,indica,,,Motha Karmal,,,,,,,,,,
muntingia,calabura,,,Singapore Cherry,,,,,,,,,,
jacquinia,ruscifolia,,,Jacquinia,,,,,,,,,,
trema,orientalis,,,Gol,,,,,,,,,,
madhuca,longifolia,,,Moha,,,,,,,,,,
madhuca,latifolia,,,,,,,,,,,,,
salix,tetrasperma,,,Walunj,,,,,,,,,,
couroupita,guianensis,,,Kailaspati,,,,,,,,,,
polyalthia,longifolia,,,Ashok,,,,,,,,,,
polyalthia,longifolia,,,Ashok,,,,,,,,,,
emblica,officinalis,,,Awala,,,,,,,,,,
guazuma,ulmifolia,,,Rudrakshi,,,,,,,,,,
casuarina,equisetifolia,,,Suru,,,,,,,,,,
dracaena,fragrans,,,Dracaena,,,,,,,,,,
dracaena,sp.,,,,,,,,,,,,,
beaucarnea,recurvata,,,Elephant's foot palm,,,,,,,,,,
nolina,recurvata,,,,,,,,,,,,,
yucca,aloifolia,,,Yucca,,,,,,,,,,
nopalea,cochenillifera,,,Nopal Cactus,,,,,,,,,,
pandanus,odoratissimus,,,Kevada,,,,,,,,,,
euphorbia,lactea,,,Candelabra Plant,,,,,,,,,,
euphorbia,tirucalli,,,Sher,,,,,,,,,,
bauhinia,hookeri,,,Mountain Ebony,,,,,,,,,,
bauhinia,racemosa,,,Apta,,,,,,,,,,
bauhinia,tomentosa,,,Pivla Kanchan,,,,,,,,,,
bauhinia,variegata,,,Kanchan,,,,,,,,,,
jatropha,curcas,,,Mogli Erand,,,,,,,,,,
pterospermum,canescens,,,Muchkunda,,,,,,,,,,
bauhinia,blakeana,,,Kanchan Raj,,,,,,,,,,
bauhinia,monandra,,,Orchid Tree,,,,,,,,,,
bauhinia,purpurea,,,Gulabi Kanchan,,,,,,,,,,
bauhinia,roxburghii,,,Roxburgh's Bauhinia,,,,,,,,,,
firmiana,colorata,,,Kaushi,,,,,,,,,,
kydia,calycina,,,Warang,,,,,,,,,,
cochlospermum,religiosum,,,Ganer,,,,,,,,,,
dombeya,acutangula,,,Dombeya,,,,,,,,,,
dombeya,wallichii,,,,,,,,,,,,,
hibiscus,mutabilis,,,Bhendi Gulab,,,,,,,,,,
solanum,erianthum,,,,,,,,,,,,,
solanum,torvum,,,Kutri,,,,,,,,,,
broussonetia,papyrifera,,,Paper Mulberry,,,,,,,,,,
manihot,esculenta,,,Tapioca,,,,,,,,,,
platanus,orientalis,,,Chinar,,,,,,,,,,
ricinus,communis,,,Erand,,,,,,,,,,
pterospermum,acerifolium,,,Karnikar,,,,,,,,,,
solanum,macrophyllum,,,Potato Tree,,,,,,,,,,
artocarpus,incisus,,,Neer Phanas,,,,,,,,,,
sterculia,urens,,,Kandol,,,,,,,,,,
carica,papaya,,,Papayi,,,,,,,,,,
ziziphus,caracutta,,,Ghatbor,,,,,,,,,,
ziziphus,oenoplia,,,,,,,,,,,,,
drypetes,roxburghii,,,Putranjiva,,,,,,,,,,
putranjiva,roxburghii,,,Putranjiva,,,,,,,,,,
pyrus,malus,,,Apple,,,,,,,,,,
manilkara,hexandra,,,Khirni,,,,,,,,,,
ziziphus,glabrata,,,Bor,,,,,,,,,,
ziziphus,mauritiana,,,Bor,,,,,,,,,,
cordia,gharaf,,,Gondan,,,,,,,,,,
